"item","itemLabel","yob","yod","occupationLabel","citizenLabel","birthcountryLabel"
"http://www.wikidata.org/entity/Q1166728","Mahaut, Countess of Artois",1270,1329,"feudatory","Kingdom of France","France"
"http://www.wikidata.org/entity/Q3130537","Pierre Desprès",1280,1361,"diplomat","France","France"
"http://www.wikidata.org/entity/Q3130537","Pierre Desprès",1280,1361,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q1772194","Hugues Roger",1293,1363,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q1772194","Hugues Roger",1293,1363,"prelate","France","France"
"http://www.wikidata.org/entity/Q528862","Guillaume Arrufat",1300,1311,"priest","France","France"
"http://www.wikidata.org/entity/Q647465","Robert de Pontigny",1300,1305,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q1772117","Raymond de Canillac",1300,1373,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q2863265","Arnaud de Villemur",1300,1355,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q672601","Étienne de Suisy",1300,1311,"cardinal","France","France"
"http://www.wikidata.org/entity/Q713696","Thomas Bérard",1300,1273,"","France","France"
"http://www.wikidata.org/entity/Q728452","Arnaud de Faugères",1300,1317,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q728452","Arnaud de Faugères",1300,1317,"prelate","France","France"
"http://www.wikidata.org/entity/Q920789","Nicolas Lorgne",1300,1284,"warrior monk","France","France"
"http://www.wikidata.org/entity/Q4662598","Aaron ben Zerah",1300,1328,"","Kingdom of France","France"
"http://www.wikidata.org/entity/Q1351294","Andouin Aubert",1300,1363,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q1454443","Jean de Villiers",1300,1294,"warrior monk","France","France"
"http://www.wikidata.org/entity/Q5671878","Amaro",1300,1300,"pilgrim","France","France"
"http://www.wikidata.org/entity/Q2405733","Jean de Murat de Cros",1301,1383,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q3592418","Étienne de La Garde",1301,1361,"archbishop","France","France"
"http://www.wikidata.org/entity/Q974959","Hélie de Talleyrand-Périgord, Bishop of Auxerre",1301,1364,"diplomat","France","France"
"http://www.wikidata.org/entity/Q974959","Hélie de Talleyrand-Périgord, Bishop of Auxerre",1301,1364,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q3172023","Jean Flandrin",1301,1415,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q2380556","Jean de Moulins",1304,1353,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q3387579","Pierre de La Forest",1305,1361,"prelate","France","France"
"http://www.wikidata.org/entity/Q3120368","Guillaume de La Jugie",1317,1374,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q1750285","Nicolas de Besse",1320,1369,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q1750285","Nicolas de Besse",1320,1369,"prelate","France","France"
"http://www.wikidata.org/entity/Q2453387","Pierre de Murat de Cros",1320,1388,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q3387430","Pierre d'Estaing",1320,1377,"prelate","France","France"
"http://www.wikidata.org/entity/Q1259784","Jean de La Grange",1325,1402,"priest","France","France"
"http://www.wikidata.org/entity/Q387701","Maria of Navarre",1326,1347,"aristocrat","Kingdom of Aragon","France"
"http://www.wikidata.org/entity/Q966508","Simon of Cramaud",1345,1423,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q1772112","Guillaume de la Sudrie",1350,1373,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q2864787","Artaud de Mélan",1350,1410,"prelate","France","France"
"http://www.wikidata.org/entity/Q30902464","Peter of Narbonne",1350,1391,"Catholic priest","","France"
"http://www.wikidata.org/entity/Q689385","François de Metz",1350,1444,"Catholic priest","","France"
"http://www.wikidata.org/entity/Q689385","François de Metz",1350,1444,"religious servant","","France"
"http://www.wikidata.org/entity/Q933891","Guillaume Court",1350,1361,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q3142751","Hugues de Saint-Martial",1350,1403,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q3175172","Jean d'Armagnac",1350,1408,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q3384037","Pierre Blavi",1350,1409,"Catholic priest","","France"
"http://www.wikidata.org/entity/Q3419044","Ranulphe de Pérusse d'Escars",1350,1441,"prelate","","France"
"http://www.wikidata.org/entity/Q677150","Jean de La Rochetaillée",1360,1437,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q1254053","Marie I, Countess of Auvergne",1376,1437,"politician","","France"
"http://www.wikidata.org/entity/Q3380933","Philippe de Coetquis",1376,1441,"prelate","France","France"
"http://www.wikidata.org/entity/Q531308","Bernard de la Planche",1380,1448,"Catholic priest","","France"
"http://www.wikidata.org/entity/Q531308","Bernard de la Planche",1380,1448,"monk","","France"
"http://www.wikidata.org/entity/Q722403","Regnault de Chartres",1380,1444,"prelate","France","France"
"http://www.wikidata.org/entity/Q2453490","Pierre de Foix, le vieux",1386,1464,"diplomat","France","France"
"http://www.wikidata.org/entity/Q2453490","Pierre de Foix, le vieux",1386,1464,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q479826","Lewis of Luxembourg",1391,1443,"cardinal","France","France"
"http://www.wikidata.org/entity/Q479826","Lewis of Luxembourg",1391,1443,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q12393982","Nompar of Caumont",1391,1446,"Gascon lord","","France"
"http://www.wikidata.org/entity/Q1685932","Jean de Dormans",1400,1373,"politician","France","France"
"http://www.wikidata.org/entity/Q1685932","Jean de Dormans",1400,1373,"prelate","France","France"
"http://www.wikidata.org/entity/Q2093164","Pierre Aycelin de Montaigut",1400,1388,"priest","France","France"
"http://www.wikidata.org/entity/Q3385528","Pierre de Cros",1400,1361,"prelate","France","France"
"http://www.wikidata.org/entity/Q3525696","Thomas de Courcelles",1400,1469,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q16390414","Sara de Sancto Aegidio",1400,NA,"physician","France","France"
"http://www.wikidata.org/entity/Q3524046","Thibaud of Luxembourg",1410,1477,"prelate","France","France"
"http://www.wikidata.org/entity/Q2690153","Jeanne de Bar, Countess of Marle and Soissons",1415,1462,"feudatory","France","France"
"http://www.wikidata.org/entity/Q3144641","Hélie de Bourdeilles",1423,1484,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q1336245","Louis d'Albret",1423,1465,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q2087776","Philippe de Levis",1435,1475,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q969655","Raymond Peraudi",1435,1505,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q92543869","Gaspard de Bettencourt",1440,1522,"knight","France","France"
"http://www.wikidata.org/entity/Q507465","Philippe de Luxembourg",1445,1519,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q1088190","Jean-François de la Trémoille",1465,1507,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q363572","Francis Phoebus of Navarre",1467,1483,"politician","Kingdom of Navarre","France"
