"id","bdate","ddate","lifespan","data","name","seats"
"A000945",1621,1672,51,"ddm","真在",NA
"A000946",968,1022,54,"ddm","趙德昌",NA
"A000953",1443,1495,52,"ddm","真盛",NA
"A000958",1794,1868,74,"ddm","真嵩",NA
"A000959",1434,1512,78,"ddm","真慧",NA
"A000962",499,569,70,"ddm","真諦",NA
"A000964",1537,1589,52,"ddm","真覺",NA
"A000981",1280,1358,78,"ddm","祖銘",NA
"A000983",1234,1308,74,"ddm","祖誾",NA
"A000984",1292,1369,77,"ddm","無盡祖鐙",NA
"A000988",721,820,99,"ddm","神清",NA
"A000991",1736,1797,61,"ddm","翁春",NA
"A001003",100,160,60,"ddm","馬鳴",NA
"A001004",1603,1647,44,"ddm","高承埏",NA
"A001005",1241,1316,75,"ddm","高峰顯日",NA
"A001007",1173,1232,59,"ddm","高辨",NA
"A001010",1602,1673,71,"ddm","行乾",NA
"A001012",477,569,92,"ddm","勒那摩提",NA
"A001019",632,682,50,"ddm","窺基",NA
"A001028",1580,1645,65,"ddm","寂光",NA
"A001030",1290,1367,77,"ddm","寂室元光",NA
"A001032",1255,1341,86,"ddm","行端",NA
"A001037",1132,1202,70,"ddm","崇岳",NA
"A001039",1304,1378,74,"ddm","崇裕",NA
"A001046",181,280,99,"ddm","康僧會",NA
"A001049",1762,1830,68,"ddm","張師誠",NA
"A001050",1044,1122,78,"ddm","張商英",NA
"A001057",1042,1091,49,"ddm","從義",NA
"A001060",1202,1281,79,"ddm","惟一",NA
"A001064",1286,1354,68,"ddm","惟則",NA
"A001081",753,793,40,"ddm","梁肅",NA
"A001082",1296,1370,74,"ddm","梵琦",NA
"A001086",1274,1339,65,"ddm","正澄",NA
"A001087",1262,1329,67,"ddm","清茂",NA
"A001089",1292,1367,75,"ddm","清欲",NA
"A001096",1043,1121,78,"ddm","清覺",NA
"A001103",1602,1655,53,"ddm","淨柱",NA
"A001105",1427,1492,65,"ddm","淨倫",NA
"A001106",1615,1684,69,"ddm","淨挺",NA
"A001109",1610,1673,63,"ddm","淨訥",NA
"A001113",1011,1088,77,"ddm","淨源",NA
"A001121",683,750,67,"ddm","淨覺",NA
"A001128",1077,1136,59,"ddm","紹隆",NA
"A001134",1560,1609,49,"ddm","廣承",NA
"A001138",1030,1119,89,"ddm","處元",NA
"A001140",1016,1086,70,"ddm","處咸",NA
"A001142",1011,1075,64,"ddm","處謙",NA
"A001144",1261,1313,52,"ddm","規庵祖圓",NA
"A001146",1322,1391,69,"ddm","通幻寂靈",NA
"A001147",1649,1698,49,"ddm","通旭",NA
"A001148",1599,1671,72,"ddm","通門",NA
"A001150",1593,1661,68,"ddm","通容",NA
"A001152",1701,1782,81,"ddm","通理",NA
"A001153",1614,1675,61,"ddm","通琇",NA
"A001155",1608,1645,37,"ddm","通際",NA
"A001156",1565,1624,59,"ddm","通潤",NA
"A001157",1610,1696,86,"ddm","通醉",NA
"A001160",575,632,57,"ddm","陳子良",NA
"A001162",440,520,80,"ddm","陳那",NA
"A001168",1520,1606,86,"ddm","陸西星",NA
"A001170",1756,1780,24,"ddm","陶善",NA
"A001171",1408,1486,78,"ddm","雪江宗深",NA
"A001177",767,822,55,"ddm","最澄",NA
"A001187",1761,1793,32,"ddm","彭希涑",NA
"A001188",1740,1796,56,"ddm","彭紹升",NA
"A001197",746,805,59,"ddm","慧果",NA
"A001198",1079,1145,66,"ddm","九頂慧泉",NA
"A001202",800,871,71,"ddm","慧運",NA
"A001204",334,416,82,"ddm","慧遠",NA
"A001222",1347,1403,56,"ddm","普莊",NA
"A001227",1158,1210,52,"ddm","普照",NA
"A001234",1179,1253,74,"ddm","普濟",NA
"A001235",1347,1408,61,"ddm","普濟善救",NA
"A001240",1425,1500,75,"ddm","景川宗隆",NA
"A001245",1393,1470,77,"ddm","景隆",NA
"A001253",1035,1107,72,"ddm","智本",NA
"A001257",1599,1655,56,"ddm","智旭",NA
"A001260",678,733,55,"ddm","智周",NA
"A001269",567,635,68,"ddm","智首",NA
"A001274",1637,1709,72,"ddm","智祥",NA
"A001278",1629,1700,71,"ddm","智沄",NA
"A001282",976,1022,46,"ddm","智圓",NA
"A001283",518,568,50,"ddm","智愷",NA
"A001289",1609,1669,60,"ddm","智銓",NA
"A001301",539,598,59,"ddm","智顗",NA
"A001304",602,668,66,"ddm","智儼",NA
"A001307",711,782,71,"ddm","湛然",NA
"A001310",1540,1620,80,"ddm","焦竑",NA
"A001311",1323,1390,67,"ddm","無文元選",NA
"A001319",1653,1744,91,"ddm","道忠",NA
"A001323",1688,1756,68,"ddm","無隱道費",NA
"A001330",1336,1401,65,"ddm","絕海中津",NA
"A001334",1079,1152,73,"ddm","善果",NA
"A001336",1074,1132,58,"ddm","善悟",NA
"A001337",724,797,73,"ddm","善珠",NA
"A001339",1414,1493,79,"ddm","善堅",NA
"A001342",637,735,98,"ddm","善無畏",NA
"A001349",613,681,68,"ddm","善導",NA
"A001367",1614,1688,74,"ddm","超見",NA
"A001373",1631,1689,58,"ddm","超遠",NA
"A001382",1634,1676,42,"ddm","開詗",NA
"A001383",1148,1227,79,"ddm","隆寬",NA
"A001387",1242,1324,82,"ddm","雲岫",NA
"A001394",1535,1615,80,"ddm","袾宏",NA
"A001395",1562,1624,62,"ddm","傳如",NA
"A001402",794,864,70,"ddm","圓仁",NA
"A001404",1256,1298,42,"ddm","圓至",NA
"A001405",799,852,53,"ddm","圓行",NA
"A001408",1571,1647,76,"ddm","圓信",NA
"A001409",814,891,77,"ddm","圓珍",NA
"A001410",1575,1635,60,"ddm","圓修",NA
"A001411",1063,1135,72,"ddm","克勤",NA
"A001414",613,696,83,"ddm","圓測",NA
"A001419",1202,1280,78,"ddm","圓爾",NA
"A001426",1323,1409,86,"ddm","愚中周及",NA
"A001427",1173,1262,89,"ddm","親鸞",NA
"A001439",986,1039,53,"ddm","楚圓",NA
"A001440",1837,1911,74,"ddm","楊文會",NA
"A001443",1547,1599,52,"ddm","楊起元",NA
"A001446",974,1020,46,"ddm","楊億",NA
"A001447",1133,1212,79,"ddm","源空",NA
"A001448",942,1017,75,"ddm","源信",NA
"A001456",1608,1661,53,"ddm","金聖歎",NA
"A001459",1698,1775,77,"ddm","萬仞道坦",NA
"A001462",1055,1101,46,"ddm","義天",NA
"A001466",1032,1083,51,"ddm","義青",NA
"A001470",635,713,78,"ddm","義淨",NA
"A001471",625,702,77,"ddm","義湘",NA
"A001472",1253,1333,80,"ddm","永平義雲",NA
"A001482",150,250,100,"ddm","龍樹",NA
"A001486",573,621,48,"ddm","聖德太子",NA
"A001495",1637,1722,85,"ddm","成鷲",NA
"A001499",1200,1253,53,"ddm","希元道元",NA
"A001501",1614,1691,77,"ddm","印正",NA
"A001502",355,434,79,"ddm","竺道生",NA
"A001503",314,385,71,"ddm","道安",NA
"A001504",1089,1151,62,"ddm","道行",NA
"A001507",1169,1250,81,"ddm","道沖",NA
"A001513",1596,1674,78,"ddm","道忞",NA
"A001515",1588,1639,51,"ddm","道昉",NA
"A001519",596,667,71,"ddm","道宣",NA
"A001522",1335,1418,83,"ddm","道衍",NA
"A001525",668,740,72,"ddm","道氤",NA
"A001528",347,419,72,"ddm","道祖",NA
"A001539",1043,1118,75,"ddm","道楷",NA
"A001547",562,645,83,"ddm","道綽",NA
"A001549",1616,1694,78,"ddm","道澄",NA
"A001551",1615,1702,87,"ddm","道霈",NA
"A001554",1600,1661,61,"ddm","道獨",NA
"A001560",1487,1560,73,"ddm","道濟",NA
"A001561",1093,1185,92,"ddm","道謙",NA
"A001569",1731,1790,59,"ddm","達珍",NA
"A001571",1608,1663,55,"ddm","達尊",NA
"A001572",529,619,90,"ddm","達摩笈多",NA
