"p","pname","bdate","ddate","seats"
"P2AG33","pad gling thugs sras 10 theg mchog bstan pa'i rgyal mtshan/","1951","2010" , 
"P2AG35","pad tshal gling sprul sku 04 kun bzang nge don bstan 'dzin chos rgyal/","1892","1957" , 
"P2AG36","ngag dbang bstan 'dzin rgya mtsho/","1883","1966" , 
"P2AG4","lcags ra sprul sku 03 ngag dbang chos 'byor bzang po/","1595","1606","G180"
"P2AG5","lcags ra sprul sku 07 ngag dbang dpal ldan rgyal mtshan chos kyi dbang phyug","1796","1860","G180"
"P2AG6","lcags ra sprul sku 08 ngag dbang bstan pa'i 'byung gnas 'phrin las chos kyi rgyal mtshan/","1861","1914" , 
"P2AG7","lcags ra sprul sku 09 blo bzang 'phrin las rnam rgyal/","1915","1933" , 
"P2AG8","dkon rdor sprul sku 02 blo bzang dbang phyug","1689","1758","G180"
"P2AG9","lcags ra sprul sku 10 'jam dpal bskal bzang 'jigs med chos kyi rgyal mtshan/","1934","1948" , 
"P2CZ10140","bka' 'gyur ba blo bzang thub bstan/","1925","2014","G155"
"P2CZ5982","sgam po mi pham chos kyi dbang phyug","1371","1423","G197"
"P2CZ6614","'dzi sgar dbon mkhas grub dge legs rin chen/","1687","1751","G185"
"P2CZ6658","gyang dmar rin po che/","1935","2007","G1519"
"P2CZ7866","snar than mkhan chen nyi ma rgyal mtshan/","1225","1305","G225"
"P2CZ7884","ja tshogs sprul sku blo bzang don grub/","1924","2001","G3190"
"P2CZ7889","mnga' ris gung thang chos rgyal khri lha dbang rgyal mtshan/","1404","1502" , 
"P2CZ7890","mnga' ris gung thang chos rgyal khri bsod nams lde/","1371","1404" , 
"P2CZ7893","khri rnam rgyal lde/","1422","1502" , 
"P2CZ8011","thang sde snod gsum pa/","0602","0664" , 
"P2CZ8016","byams pa phun tshogs/","1928","2004","G4249"
"P2CZ8037","btsun pa phA h+yin/","0337","0422" , 
"P2CZ8038","ce tA hwa shang /","1148","1209" , 
"P2CZ8053","dka' chen shes rab yar 'phel/","1928","2001","G104"
"P2CZ8066","sngags 'chang mgon po tshe brtan/","1906","1990","G4646"
"P2CZ9105","bsod nams 'brug rgyas/","1882","1971" , 
"P2CZ9156","byang sems shes rab bzang po/","1395","1457","G180"
"P2CZ9164","bya rgod pa chos skyong rgyal mtshan/","1648","1690" , 
"P2CZ9165","ding ri ba 'chi med blo gros brtan pa/","1632","1687","G3125"
"P2DB13647","kirti'i khri zur blo bzang lung rigs rgya mtsho/","1893","1963" , 
"P2DB20793","pad+ma chos 'phel/","1772","1836" , 
"P2DB25467","g.yu rngog pa blo bzang chos 'phel/","1928","2001" , 
"P2DB5979","bla ma chos dbyings rdo rje/","1941","2010","G1KR2785"
"P2DB6813","ye shes bstan 'dzin dbang rgyal/","1853","1906" , 
"P2DB6814","'jam dbyangs bstan 'dzin/","1884","1952","G3278"
"P2GS1063","dge 'dun sgang mkhan chen rab 'byor seng+ge","1398","1480","G371"
"P2GS1311","karma lhun grub rig 'dzin/","1882","1956","G4649"
"P2GS228","kun dga' rnam rgyal/","1555","1628" , 
"P2GS305","'ol mo blo bzang chos grags rgya mtsho/","1696","1774" , 
"P2JM168","chos rgyal mes ag tshom/","0704","0754" , 
"P2JM275","rdzogs chen dpon slob 03 nam mkha' chos kyi rgya mtsho/","1807","1821" , 
"P2JM309","a gro ngag dbang nor bu/","1886","1958","G3219"
"P2JM378","mkhan chen pad+ma tshe dbang rgya mtsho/","1902","1959","G16,G3219"
"P2JM399","mkhas dbang tshe ring chos 'byor/","1928","1959","G16,G3219"
"P2JM411","lcags ra sprul sku 05 ngag dbang bstan 'dzin lhub grub/","1671","1727","G180"
"P2JM424","o rgyan bsam gtan/","1647","1735","G4687"
"P2JM431","kun bzang pad+ma dbang rgyal/","1736","1784","G4687"
"P2JM501","rdo ring sprul sku 'jam dbyangs kun bzang lung rig chos kyi nyi ma/","1902","1952","G8LS12773"
"P2KG1689","'brong ngur chos rje 04 gu shri lhun grub rgyal mtshan/","1392","1463","G3395"
"P2KG1690","'brong ngur chos rje karma pad+ma'i rgyal mtshan/","1464","1532","G3395"
"P2KG1691","'brong ngur chos rje karma don grub/","1534","1586","G3395"
"P2KG1692","'brong ngur chos rje karma dge dbang /","1587","1601","G3395"
"P2KG1693","'brong ngur chos rje gangs pa mchog rgyal/","1602","1622","G3395"
"P2KG201056","o rgyan bdud 'dul gling pa/","1909","1964" , 
"P2KG206281","sprul sku bstan 'dzin bde legs/","1950","2015" , 
"P2KG209789","ri khrod pa dge legs yar 'phel/","1766","1840" , 
"P2KG209846","dge ldan dam chos kun rgyas gling gyi gdan rabs 12 rje btsun skal bzang tshul khrims/","1925","1994","G3232"
"P2KG209861","bde thang mkhan chen blo bzang chos kyi nyi ma gzhan phan 'phrin las dge legs rgya mtsho/","1907","1959","G162"
"P2KG210030","rgya nag pa 01 blo bzang bstan pa'i sgron me/","1821","1857","G3278"
"P2KG210031","rgya nag pa 02 blo bzang 'jigs med rgya mtsho/","1859","1900","G3278"
"P2KG210032","rgya nag pa 03 blo bzang thub bstan nyi ma/","1901","1946","G3278"
"P2KG228852","lu'o kon krung /","1932","2011" , 
"P2KG229083","dka' bcu ba kun dga' chos 'phel rgya mtsho/","1631","1711" , 
"P2KG762","gnya' bstan 'dzin lhun grub/","1974","2014" , 
"P2KT11","bstan 'dzin rab rgyas/","1803","1857" , 
"P2LS258","tshe dbang don grub/","1902","1967" , 
"P2LS259","bsod nams dbang 'dus/","1901","1972" , 
"P2LS287","bsam grub tshe ring /","1887","1912" , 
"P2LS288","bskal bzang lha dbang /","1903","1936" , 
"P2LS291","'chi med sgrol dkar/","1885","1901" , 
"P2LS293","tshe brtan sgrol dkar/","1898","1940" , 
"P2LS295","bsod nams sgrol ma/","1907","1909" , 
"P2LS297","byang chub sgrol ma/","1912","1930" , 
"P2LS311","rdo rje dbang phyug","1921","1951" , 
"P2LS314","bde chen chos sgron/","1928","1946" , 
"P2MS14707","sgis bla rdo rje 'chang ngag dbang chos 'phel bzang po/","1904","1998","G193"
"P2MS4764","bstan 'dzin kun dga' dpal bzang /","1513","1595","G201"
"P2MS9536","bsod nams lde'u bstan/","1910","1958" , 
"P2PD17097","mkhan po a khyung /","1927","2011","G3812"
"P2PD17380","sgar rje sprul sku gsang sngags bstan 'dzin/","1917","1956","G4027"
"P2PD20567","nam mkha' rgyal mtshan/","1777","1833" , 
"P2PD20577","o rgyan tshul khrims/","1933","2000" , 
"P2PD20590","rje btsun blo bzang rgya mtsho dpal bzang /","1944","2009" , 
"P2PD20791","spyod 'jug bla ma dbyangs can dga' ba'i blo gros/","1816","1894" , 
"P3005","g.yu thog gsar ma yon tan mgon po/","1126","1202" , 
"P301","khri 70 ngag dbang chos 'phel/","1760","1839","G110,G337,G394,G77,G437"
"P3016","zur mkhar mnyam nyid rdo rje/","1439","1475" , 
"P302","rta tshag 08 bstan pa'i mgon po/","1760","1810","G219"
"P303","a lag sha bstan dar/","1759","1831","G109"
"P304","rwa sgreng khri sprul bstan pa rab rgyas/","1759","1815","G74,G74"
"P305","gtsos khri sprul 02 blo bzang rgyal mtshan seng+ge","1757","1849","G293,G163"
"P306","khri 69 byang chub chos 'phel/","1756","1838","G304,G236,G3998,G337"
"P307","khri 67 'jam dbyangs smon lam/","1750","1814","G304,G337,G236,G126"
"P308","gu ge yongs 'dzin blo bzang bstan 'dzin rgya mtsho/","1748","1813","G106"
"P3092","grub chen brag phug pa/","1277","1350" , 
"P3093","ri khrod pa blo gros brtan pa/","1316","1358" , 
"P3094","shar chen ye shes rgyal mtshan/","1359","1406" , 
"P3096","sgo mang mkhan po blo bzang tshul khrims rgya mtsho/","1841","1907","G3090,G109"
"P310","bya khyung ngag dbang snyan grags/","1746","1824","G337,G394,G155"
"P3102","bco brgyad khri chen 01 mkhyen rab rin chen mchog grub/","1436","1497","G275"
"P3116","dpal 'byor rgya mtsho/","1526","1599","G337"
"P3118","skyo ston rig 'dzin rgyal po/","1437","1510","G275"
"P312","rong po grub chen 03 dge 'dun 'phrin las rab rgyas/","1740","1794","G8LS12318,G163"
"P3158","'dul 'dzin dpal ldan bzang po/","1402","1473","G397"
"P316","a rig dge bshes byams pa 'od zer/","1728","1803","G398"
"P3160","lab skyabs mgon 04 chos skyong rgya mtsho/","1473","1539","G2562,G77,G2353,G337"
"P317","zhwa dmar 04 pa chos grags ye shes/","1453","1524","G198"
"P318","'gos lo tsA ba gzhon nu dpal/","1392","1481" , 
"P3183","gong dkar rdo rje gdan pa kun dga' rnam rgyal/","1432","1496","G3509"
"P320","byams pa gsung rab/","1791","1841" , 
"P322","a kyA 03 blo bzang 'jam dbyangs rgya mtsho/","1768","1816","G160"
"P3231","grub chen bzang po rgyal mtshan/","1414","1493","G275"
"P324","shing bza' paN+Di ta blo bzang bstan pa'i dbang phyug","1825","1897","G160,G398,G163"
"P3241","'jam dbyangs chos kyi dpal ba/","1316","1397" , 
"P3243","gser khang blo bzang bstan 'dzin rgya mtsho/","1780","1848","G163"
"P3256","bka' 'gyur ba mgon po bsod nams mchog ldan/","1603","1659","G508,G275"
"P326","gu ru chos dbang /","1212","1270","G388"
"P3266","bsod nams 'phel ba/","1361","1438" , 
"P3267","bsod nams mchog grub/","1468","1538","G275"
"P329","chu bzang 03 ngag dbang thub bstan dbang phyug","1725","1796","G164,G160,G161"
"P3296","grub chen sangs rgyas dpal/","1339","1420" , 
"P330","'bri gung che tshang 03 dkon mchog bstan 'dzin 'gro 'dul/","1724","1766","G340"
"P3312","ma cig lab kyi sgron ma/","1055","1149","G2819"
"P332","tshe smon gling 01 ngag dbang tshul khrims/","1721","1791","G220,G435,G394,G236,G237,G337"
"P333","dngul chu ngag dbang rdo rje/","1720","1803","G223"
"P334","lha btsun ngag dbang rdo rje/","1715","1780" , 
"P335","gtsang pa mkhan chen ye shes dpal 'byor/","1714","1783","G464"
"P336","stag phu 04 blo bzang bstan pa'i rgyal mtshan/","1714","1762","G405"
"P339","sum pa mkhan po ye shes dpal 'byor/","1704","1788","G165"
"P340","blo bzang rgyal mtshan/","1700","1785","G161,G155"
"P3412","tshogs sgom kun dga' dpal/","1210","1307" , 
"P3413","gnyan chen bsod nams brtan pa/","1222","1317" , 
"P343","mdo mkhar zhabs drung tshe ring dbang rgyal/","1697","1763","G67"
"P344","'on rgyal sras 04 'jigs med ye shes grags pa/","1696","1750","G75"
"P3442","po to pa rin chen gsal/","1027","1105","G4595"
"P3444","dge bshes brag dkar ba/","1032","1111" , 
"P3445","glang ri thang pa rdo rje seng+ge","1054","1123" , 
"P3446","gtum ston blo gros grags/","1106","1166","G3566"
"P3447","'chad kha pa ye shes rdo rje/","1101","1175","G2066"
"P3448","spyil bu pa chos kyi rgyal mtshan/","1121","1189","G228"
"P3449","lha lung gi dbang phyug","1158","1232","G445"
"P345","'jam dbyangs bde ba'i rdo rje/","1682","1741","G478"
"P3450","byams chen chos rje shAkya ye shes/","1354","1435","G154"
"P3451","khri 46 sbyin pa rgya mtsho/","1629","1695","G337"
"P3456","nag tsho lo tsA ba/","1011","1064" , 
"P346","mi dbang bsod nams stobs rgyas/","1689","1747" , 
"P3461","a mes byang chub rin chen/","1015","1077","G74"
"P3464","khu ston brtson 'grus g.yung drung /","1011","1075" , 
"P3466","khams pa lung pa shAkya yon tan/","1023","1115" , 
"P3473","spyan snga tshul khrims 'bar/","1038","1103" , 
"P3475","bya yul ba chen po gzhon nu 'od/","1075","1138","G229"
"P3476","dgyer sgom chen po gzhon nu grags pa/","1090","1171","G2365"
"P3485","sangs rgyas dbon ston/","1138","1210","G4163,G3085"
"P349","rgya nag pa 'jam dbyangs bstan pa'i nyi ma/","1686","1738" , 
"P3495","hor ston nam mkha' dpal ba/","1373","1447","G77"
"P35","'jam dbyangs chos rje bkra shis dpal ldan/","1379","1449","G108"
"P350","bde khang ba blo bzang rab brtan/","1683","1766","G394,G161"
"P3507","sgo rum pa kun dga' legs pa/","1477","1544","G201"
"P3508","bod mkhar ba mai tri don grub rgyal mtshan/","1527","1587" , 
"P351","brag g.yab blo bzang bstan pa/","1683","1739","G460"
"P3510","rin chen bsod nams mchog grub/","1602","1681","G275"
"P3511","bco brgyad khri chen 09 mkhyen rab byams pa lhun grub/","1633","1703","G233"
"P3513","ngor mkhan chen 47 byams pa kun dga' bstan 'dzin/","1776","1862","G211"
"P3527","kong po bka' brgyad 'phrin las yar 'phel/","1732","1787","G403"
"P353","mkhan chen dge 'dun rgya mtsho/","1679","1765","G163"
"P3534","lha blo gros 'od/","1285","1350" , 
"P3537","bla brang khri 04 ngag dbang bstan 'dzin/","1696","1762","G162"
"P3542","thugs sras thub bstan lhun grub/","1906","1955" , 
"P3546","a mdo dge bshes 'jam dpal rol pa'i blo gros/","1888","1944" , 
"P355","rgyal thang pa dge 'dun tshul khrims/","1744","1807","G236,G1519,G337,G237,G77"
"P3550","thu'u bkwan 06 blo bzang dbang phyug bshad sgrub rgya mtsho/","1839","1894","G165"
"P3551","thur ma 'jam dbyangs don grub/","1748","1830","G162"
"P3554","the bud dkon mchog phun tshogs/","1773","1838","G162"
"P3555","the bo 03 blo bzang bstan 'dzin/","1783","1846","G438"
"P3558","gling dkon mchog rgyal ba'i blo gros/","1773","1838","G162"
"P3559","se drung dkon mchog dbang phyug","1768","1833","G162"
"P3560","tsa yus 03 dkon mchog dge legs rgyal mtshan/","1778","1856","G162,G2521"
"P3565","theg chen chos rje kun dga' bkra shis/","1349","1425" , 
"P3566","tA dben chos kyi rgyal mtshan/","1332","1359","G436,G880"
"P3572","si tu 01 chos kyi rgyal mtshan/","1377","1448","G35,G35"
"P3574","si tu 03 bkra shis dpal 'byor/","1498","1541","G35"
"P3576","si tu 04 mi 'khrugs chos kyi go cha/","1542","1585","G35"
"P3579","ser dris 03 dkon mchog bstan 'dzin rgya mtsho/","1810","1857","G160"
"P358","'phan yul blo bzang dge legs/","1757","1816","G77,G237,G337,G394"
"P3580","phag mo gru pa sde srid 02 shAkya rgyal mtshan/","1340","1373" , 
"P3581","phag mo gru pa sde srid 03 grags pa byang chub/","1356","1386","G434"
"P3582","phag mo gru pa sde srid 04 bsod nams grags pa/","1359","1408" , 
"P3583","dbang grags pa rgyal mtshan/","1374","1432" , 
"P3584","phag mo gru pa sde srid 06 grags pa 'byung gnas/","1414","1446" , 
"P3588","phag mo gru pa sde srid 10 ngag gi dbang po/","1439","1495" , 
"P3589","phag mo gru pa sde srid 11 ngag dbang bkra shis grags pa/","1480","1564" , 
"P359","gsang bdag 'phrin las lhun grub/","1611","1662","G12"
"P3599","stag phu ba chos grags bzang po/","1493","1559","G4607,G77,G405,G337"
"P360","dag ston chos rgyal bstan 'dzin/","1631","1708","G494"
"P3600","stag phu 01 dpal ldan don grub/","1382","1466","G405"
"P3602","chu bzang 05 blo bzang thub bstan bshad sgrub chos kyi nyi ma/","1859","1913","G161"
"P3605","btsan po don grub rgya mtsho/","1613","1665","G165,G109,G160"
"P3606","chu bzang 01 rnam rgyal dpal 'byor/","1578","1651","G160,G164,G165"
"P361","rgyal sras bstan pa'i nyi ma/","1648","1674","G14,G12"
"P3610","lcang skya 04 ye shes bstan pa'i rgyal mtshan/","1787","1846" , 
"P3611","sa skya pa slob dpon grags pa blo gros/","1367","1446","G210"
"P3623","bla brang rgyud pa khri 22 dge 'dun dpal bzang /","1731","1809","G299,G162"
"P3624","bla brang khri ngag dbang dge 'dun rgya mtsho/","1839","1905","G4851"
"P3635","dpa' ris 02 dkon mchog dam chos yar 'phel/","1797","1860","G301,G162"
"P3639","rig 'dzin kun bzang stobs ldan dbang po/","1781","1828","G184"
"P364","myang nyi ma 'od zer/","1124","1192","G7"
"P3640","dpal chen 'od po/","1150","1203","G210"
"P3645","'chus pa dar ma brtson 'grus/","1117","1192" , 
"P365","mnga' bdag 'gro mgon/","1164","1221","G7"
"P3663","gyang ro 'jigs med rgyal mtshan/","1773","1850","G162,G2530,G2526"
"P3669","bla brang dus 'khor dpon slob 20 dkon mchog dpal ldan/","1785","1833","G162"
"P3690","hor lding sgom pa 02 blo bzang dge legs rgyal mtshan/","1811","1883","G109,G160"
"P37","tA la'i bla ma 05 ngag dbang blo bzang rgya mtsho/","1617","1682","G108,G222"
"P3707","sha mi ba smon lam 'bar/","1085","1171" , 
"P3719","bya yul gdan rabs 04 sangs rgyas sgom pa/","1160","1229","G229"
"P3723","hor chen pa ye shes rgya mtsho/","1860","1921","G415"
"P373","a mdo zhwa dmar 03 ngag dbang bstan 'dzin rgya mtsho/","1807","1848","G271"
"P3730","'khon dkon mchog rgyal po/","1034","1102","G210"
"P3731","ba ri lo tsA ba rin chen grags/","1040","1112","G210"
"P374","gung thang 04 dkon mchog bstan pa'i rgya mtsho/","1824","1859","G162"
"P3749","so ston shAkya dpal/","1355","1432" , 
"P3750","'khrul zhig tshul khrims rgyal mtshan/","1399","1473","G275"
"P3753","shar pa ye shes rgya mtsho/","1404","1473" , 
"P3756","bkra shis dpal 'od/","1408","1460","G67"
"P3759","snye mdo kun dga' bzang po/","1258","1316","G3526"
"P3762","snye mdo smra ba'i seng+ge","1186","1247","G3526"
"P3766","snye mdo thams cad mkhyen bsod nams dpal/","1217","1277","G3526"
"P377","'ba' ling zhabs drung dkon mchog chos 'phel/","1762","1822" , 
"P3775","sprul sku yang dben pa/","1160","1217","G427"
"P3788","gtsang paN+Di ta 02 blo bzang bstan pa rgya mtsho/","1738","1780","G163,G1931"
"P379","tA dben gu shrI kun dga' nyi ma/","1309","1382" , 
"P3791","rong po khri rgan dge 'dun mkhyen rab/","1736","1815","G163,G8LS12302"
"P3795","nags gtsang 03 blo bzang byang chub chos 'phel/","1866","1901","G431"
"P3796","nags gtsang 04 ngag dbang lung rtogs dpal ldan 'jigs med thub bstan/","1902","1913","G431"
"P3798","rig 'dzin byang chub rdo rje/","1863","1961" , 
"P3799","rdzong dkar chung ba 'jigs med bstan pa'i rgyal mtshan/","1861","1922","G224,G163"
"P38","mkhar rdo bzod pa rgya mtsho/","1672","1749","G402"
"P3800","rdzong dkar 'jigs med lung rigs rgya mtsho/","1804","1859","G163,G224,G8LS12302"
"P3808","rdzong dkar ma Ni pa bstan 'dzin 'phrin las/","1695","1738","G109,G109,G163"
"P3810","rdzong dkar chung ba lung rtogs gter chen bstan pa'i nyi ma/","1739","1803","G163,G109,G224"
"P3811","lha smon ye shes tshul khrims/","1913","1977","G104"
"P3814","mar pa do ba chos kyi dbang phyug","1042","1136" , 
"P3816","rong zom paN+Di ta/","1042","1136" , 
"P382","sde khri 03 'jam dbyangs thub bstan nyi ma/","1779","1862","G301,G301,G162"
"P3825","a kyA 01 shes rab bzang po/","1633","1707","G160"
"P384","khri 12 'jam dbyangs shes rab dar legs pa'i blo gros/","1450","1530","G77,G2359,G337"
"P3849","steng pa lo tsA ba tshul khrims 'byung gnas sbas pa/","1107","1190","G3157"
"P385","karma pa 08 mi bskyod rdo rje/","1507","1554","G33"
"P3858","rngog byang chub dpal/","1360","1446" , 
"P3866","'brug pa ngag dbang grags pa rgyal mtshan/","1506","1538","G3582"
"P3869","mkhan chen dkon mchog tshul khrims/","1445","1517" , 
"P388","dpal ldan bstan pa'i nyi ma/","1819","1901","G160"
"P3893","byang pa rnam rgyal grags pa bzang po/","1395","1475" , 
"P3912","a kyA 02 blo bzang bstan pa'i rgyal mtshan/","1708","1768","G160,G1955"
"P392","gung ri mkha' 'gro 05 rig 'dzin dpal mo/","1814","1891","G4646"
"P3924","dbal mang 01 blo bzang don grub/","1696","1756","G162"
"P394","sangs rgyas bla ma/","1000","1080" , 
"P3942","co ne sa skyong 18 blo bzang bstan 'dzin rnam rgyal 'phrin las rdo rje/","1889","1937","G435"
"P395","'phags pa lha 02 sangs rgyas dpal/","1507","1566","G180"
"P396","gser mdog paN chen shAkya mchog ldan/","1428","1507","G391"
"P397","'jigs med thub bstan nor bu/","1804","1862" , 
"P398","rje drung shes rab dpal brtsegs/","1427","1507","G180"
"P399","rgyal dbang rin chen phun tshogs/","1509","1557","G340"
"P3998","zhang ston chos kyi bla ma/","1184","1241","G225"
"P3AG16","kun bzang 'phrin las rnam rgyal/","1727","1758","G183"
"P3AG2","dam pa ri khrod pa rme'u dgongs mdzod/","1038","1096" , 
"P3AG24","a g.yu mkha' 'gro rdo rje dpal sgron/","1839","1953" , 
"P3AG26","sgang steng sprul sku 06 bstan pa'i nyi ma/","1838","1874","G183"
"P3AG27","sgang steng sprul sku 07 o rgyan bstan pa'i nyin byed/","1875","1905","G183"
"P3AG29","sgang steng sprul sku 04 bstan 'dzin srid zhi rnam rgyal/","1759","1790","G183"
"P3AG30","sgang steng sprul sku 05 o rgyan dge legs rnam rgyal/","1792","1840","G183"
"P3AG39","rdzogs chen kong sprul 02 dkon mchog 'jigs med dbang po/","1953","1961","G16"
"P3AG40","rdzogs chen mkhyen brtse 02 gzhon nu blo gros/","1937","1959","G16"
"P3AG41","rdzogs chen dpon slob 05 dkon mchog bstan pa'i nyi ma/","1889","1924","G16"
"P3AG42","rdzogs chen dpon slob 06 'jigs bral tshe dbang rdo rje/","1925","1962","G16"
"P3AG45","ri bo che rje drung 01","1530","1590" , 
"P3AG46","ri bo che rje drung 02","1591","1642" , 
"P3AG47","ri bo che rje drung 03","1646","1708","G70,G4744"
"P3AG48","ri bo che rje drung 04","1715","1743","G70,G4744"
"P3AG49","ri bo che rje drung 05","1745","1829","G4744,G70"
"P3AG50","ri bo che rje drung 06","1830","1855" , 
"P3AG51","dge 'dun bstan pa'i rgyal mtshan/","1728","1790","G109"
"P3AG54","dge mang 03 gar dbang las rab gling pa/","1930","1959" , 
"P3AG59","tshul khrims shes rab/","1115","1158" , 
"P3AG6","'gro mgon g.yor po me dpal/","1134","1169" , 
"P3AG62","stong 'khor 09 blo bzang thub bstan 'jigs med tshul khrims rgya mtsho/","1896","1934","G1542"
"P3AG8","blo gros rgyal mtshan/","1198","1263" , 
"P3AG9","bru ston 'dul ba rgyal mtshan/","1239","1293" , 
"P3CN10672","grub dbang dkon mchog nor bu/","1922","2007","G340"
"P3CN1564","sman ri khri 'dzin lung rtogs bstan pa'i nyi ma/","1929","2017","G4"
"P3CN17355","zhon zha h+phu/","1899","1938" , 
"P3CN17680","sngags rams pa blo bzang bzod pa rgya mtsho/","1878","1961" , 
"P3CN17686","ang gi bla ma dka' bcu phyag rdor skyabs/","1868","1934" , 
"P3CN17698","'dar pa paN+Di ta ngag dbang chos 'byor don grub/","1870","1927" , 
"P3CN21884","hu'i ning /","0638","0713" , 
"P3CN22955","h+pha btsun/","1902","1980" , 
"P3CN26172","cin tA krung /","1924","2009" , 
"P3CN2946","btsun pa chos legs/","1437","1521","G1KR1549"
"P3CN8453","rdor gdan dka' chen blo bzang bkra shis/","1901","1966","G104"
"P3CN9065","gAn d+hi/","1869","1948" , 
"P3JM101","gling bla thub bstan phrin las rgya mtsho/","1897","1959" , 
"P3JM110","rdzogs chen kong sprul 'gyur med dkon mchog rgyal mtshan/","1901","1952","G16"
"P3JM56","lcags mdud sprul sku/","1930","2002" , 
"P3JT12060","rtogs ldan u rgyan bstan 'dzin nor bu/","1890","1958" , 
"P3JT13297","rngog rin chen bzang po/","1243","1319" , 
"P3JT13361","bla ma kun dga' tshe dbang /","1924","1996","G1KG5757"
"P3PD997","nges don rgya mtsho/","1899","1959" , 
"P4","btsun ma g.yu lha/","1901","1980" , 
"P4006","mkhan chen bzod pa dpal grub/","1401","1470" , 
"P4007","khro phu lo tsA ba byams pa dpal/","1173","1236","G279"
"P402","stong 'khor 09 thub bstan 'jigs med rgya mtsho/","1820","1882","G239"
"P4024","grub chen te lo pa/","0988","1069" , 
"P403","lha zur khang pa dbang phyug ye shes/","1277","1327" , 
"P4037","ti shrI 12 kun dga' rgyal mtshan/","1310","1358","G880,G436"
"P4038","kun dga' blo gros rgyal mtshan/","1299","1327","G880"
"P4039","ti shrI kun dga' legs pa'i 'byung gnas rgyal mtshan/","1308","1341","G880,G466"
"P404","stod lung pa rin chen snying po/","1032","1116","G23"
"P4041","ti shrI 13 bsod nams blo gros/","1332","1362","G466,G880"
"P4043","dbus pa rta ye/","1163","1230" , 
"P4047","mdzes pa snying po/","1166","1244" , 
"P405","phu chung ba gzhon nu rgyal mtshan/","1031","1106","G2CN11076"
"P4057","stag lung che ba blo bzang bstan pa'i nyi ma/","1782","1836","G162"
"P4059","chos rje rat+na gu ru/","1288","1327","G67"
"P406","se ston kun rig","1029","1116" , 
"P4066","thang dkar blo bzang chos 'dzin/","1784","1862","G162,G4366,G4368"
"P4067","thar mi chi blo bzang don grub/","1640","1717","G162"
"P4069","d+hAr+ma kir+ti kun bzang bsod nams/","1823","1905" , 
"P407","kam kam pa rin chen gzhon nu/","1255","1327" , 
"P4070","d+harma dhwa dza/","1351","1396" , 
"P4073","bde yangs dge 'dun thub bstan rab rgyas/","1911","1961","G161"
"P4074","bde yangs blo bzang bstan 'dzin nor bu/","1839","1911","G161"
"P4079","'jigs med bstan 'dzin mchog grub/","1909","1960","G161"
"P4081","mdo ba blo bzang dbang phyug rgya mtsho/","1773","1888","G164,G160,G155"
"P4083","'dan ma chos rje 02 ngag dbang bstan 'dzin 'phrin las/","1666","1723" , 
"P4084","'dan ma chos rje 01 tshul khrims rgya mtsho/","1587","1664","G165,G172"
"P4085","'dul 'dzin 'od zer rgya mtsho/","1557","1623","G160"
"P4086","drung che mkha' spyod pa/","1370","1433" , 
"P4087","sa skya pa rdo rje rin chen rgyal mtshan/","1353","1405","G440"
"P4088","rdo ston shes rab grags/","1127","1185","G225"
"P409","rong po grub chen 02 ngag dbang 'phrin las rgya mtsho/","1678","1739","G109,G163"
"P4090","rdo ring paNDi ta dngos grub rab brtan/","1721","1792","G2CN10930"
"P4095","sde dge rgyal po bstan pa tshe ring /","1678","1738","G193"
"P4098","sde khri 02 'jigs med lung rigs rgya mtsho/","1748","1778","G162,G301"
"P410","bse tshang 01 ngag dbang bkra shis/","1678","1738","G162"
"P4112","dpal spungs sman pa 'brug rgyal/","1908","1984","G36"
"P4119","a rol 01 grags pa rgya mtsho/","1740","1804" , 
"P412","rwa sgreng 01 ngag dbang mchog ldan/","1677","1751","G161,G394,G337,G2194"
"P4120","a rin ngag dbang dpal ldan/","1676","1736","G162,G109"
"P4122","bla brang khri 13 blo bzang snyan grags/","1718","1800","G162"
"P4123","a mo blo bzang smon lam/","1672","1735" , 
"P4125","ho thog thu blo bzang thub bstan rgya mtsho/","1847","1902","G271,G160"
"P4129","hor tshang gser khri 03 'jigs med rig pa'i seng+ge","1747","1816","G162"
"P4130","rab brtan rgya mtsho/","1697","1763","G162"
"P4131","lha khang lung pa 01 yon tan rgya mtsho/","1610","1682","G4822"
"P4133","lha khang lung pa 02 ngag dbang byams pa/","1683","1736","G109"
"P4136","g.ya' bzang gdan rabs 07 grags pa 'od pa/","1335","1404","G444"
"P4137","lha 'gro ba'i mgon po/","1186","1259","G445"
"P4139","lha phyug mkhar ba nyi zla 'od/","1135","1215","G30"
"P414","stag tshang blo bzang rab brtan/","1676","1745","G254"
"P4140","lha brag kha pa blo gros ye shes/","1190","1286","G445"
"P4144","lha btsun ngo mtshar gzhan phan/","1871","1944" , 
"P4150","lha zhis 'jigs med 'phrin las/","1762","1815","G162"
"P416","'bri gung che tshang 02 dkon mchog 'phrin las bzang po/","1656","1718","G340"
"P4162","lho pa blo bzang bkra shis/","1709","1783","G162"
"P4164","bya yul mkhan gdan rabs 10 tshul khrims shes rab/","1284","1338","G229,G229"
"P4165","dbang phyug gzhon nu/","1232","1312","G229"
"P4167","bya yul gdan rabs 09 tshul khrims seng+ge","1263","1325","G229"
"P4168","ro skam mkhan rabs 02 sangs rgyas rdo rje/","1169","1226","G368"
"P417","rta tshag 06 ngag dbang dkon mchog nyi ma/","1653","1707" , 
