"p","pname","bdate","ddate","seats"
"P152","jo nang mkhan chen phyogs las rnam rgyal/","1306","1386","G201"
"P1523","bla chen dgongs pa rab gsal/","0953","1035" , 
"P154","sgra tshad pa rin chen rnam rgyal/","1318","1388","G275"
"P155","bu ston rin chen grub/","1290","1364","G275"
"P1550","sgom sde ba nam mkha' rgyal mtshan/","1532","1592","G236"
"P1554","rgyud smad chos rje rnam rgyal dpal bzang /","1541","1602","G394"
"P1557","ko'u ba gzhon nu byang chub 'od zer/","1309","1385","G161,G286"
"P1558","chos rje don grub rin chen/","1309","1385","G161"
"P1559","krang kyA zhabs drung 'jam dbyangs skal ldan/","1769","1831","G162"
"P1561","klu shod ngag dbang dar rgyas/","1769","1846","G162"
"P1563","klu shod phun tshogs seng+ge","1773","1844","G162"
"P1566","klu shod bsod nams rgya mtsho/","1785","1852","G162"
"P1569","ngor mkhan chen 03 'jam dbyangs shes rab rgya mtsho/","1396","1474","G211"
"P1573","khri 22 dge 'dun bstan pa dar rgyas/","1493","1568","G3011,G337,G3012,G77,G237,G2063"
"P1574","ngag dbang blo gros rgya mtsho/","1635","1688","G337,G109,G77"
"P1577","sna nam rdo rje dbang phyug","0976","1060","G280"
"P1583","klong chen rab 'byams pa dri med 'od zer/","1308","1364","G521"
"P1591","'dul 'dzin grags pa rgyal mtshan/","1374","1434","G330,G4164"
"P1595","khri rgan 03 'jam dbyangs don yod rgyal mtshan/","1791","1865","G163"
"P1597","gtsang rje btsun don yod dpal ldan/","1445","1524","G155,G1511,G154"
"P16","skyob pa 'jig rten gsum mgon/","1143","1217","G340"
"P1611","blo bzang nyi ma/","1439","1492","G337,G108"
"P1614","rje btsun grags pa rgyal mtshan/","1147","1216","G210"
"P1615","sa chen kun dga' snying po/","1092","1158","G210"
"P1618","slob dpon bsod nams rtse mo/","1142","1182","G210"
"P1622","lcags rwa 06 ngag dbang 'phrin las/","1730","1794" , 
"P1629","co ne grags pa bshad sgrub/","1675","1748","G237,G435"
"P1630","bka' 'gyur ba blo bzang nyi ma/","1639","1718" , 
"P1633","chu bzang 04 blo bzang thub bstan rab rgyas/","1797","1858","G108,G164,G164"
"P1635","shel dkar bka' 'gyur bla ma ngag dbang blo bzang bstan 'dzin tshul khrims rgyal mtshan/","1856","1932","G221"
"P1636","ri rdzong sras sprul blo bzang tshul khrims chos 'phel/","1860","1926","G231"
