Dharma_Drum_Authority_No,Main_Name,Birth,Death
A000643,高泉性潡,+1633-01-01 ~ +1633-12-31,+1695-02-13 ~ +1696-02-02
A000644,性聰,+1611-01-01 ~ +1611-12-31,+1667-01-07
A000646,房融,+0640 ~ +0688,+0708 ~ +0757
A000650,拔合思巴,+1235-04-02,+1280-12-22
A000651,拔隊得勝,+1327-01-01 ~ +1327-12-31,+1387-01-28 ~ +1388-02-15
A000655,明本,+1263-01-08,+1323-09-22
A000658,明河,+1588-01-01 ~ +1588-12-31,+1640-01-23 ~ +1641-02-09
A000675,東山湛照,+1231-01-01 ~ +1231-12-31,+1291-01-01 ~ +1291-12-31
A000676,東陽英朝,+1428-01-01 ~ +1428-12-31,+1504-01-27 ~ +1505-02-13
A000678,東晙,+1732-01-01 ~ +1732-12-31,+1802-01-29
A000682,林兆恩,+1517-02-01 ~ +1518-02-19,+1598-02-06 ~ +1599-01-26
A000683,松本文三郎,+1869-01-01 ~ +1869-12-31,+1944-01-01 ~ +1944-12-31
A000686,波羅頗迦羅蜜多羅,+0565-01-01 ~ +0565-12-31,+0633-02-17 ~ +0634-02-06
A000689,法上,+0495-01-01 ~ +0495-12-31,+0580-02-04 ~ +0581-01-22
A000691,法月,+0653-01-01 ~ +0653-12-31,+0743-12-17
A000697,法住,+1723-01-01 ~ +1723-12-31,+1800-01-01 ~ +1800-12-31
A000703,法林,+1284-01-01 ~ +1284-12-31,+1355-03-24
A000709,瑞巖法恭,+1102-01-01 ~ +1102-12-31,+1181-09-18 ~ +1181-10-16
A000726,法琳,+0571-01-01 ~ +0571-12-31,+0639-02-12 ~ +0640-01-31
A000728,法進,+0709-02-19 ~ +0710-02-07,+0778-10-27
A000729,法雲,+0467-01-01 ~ +0467-12-31,+0529-01-27 ~ +0529-11-18
A000731,法照,+1185-09-01,+1273-10-04
A000733,法演,+1018-01-26 ~ +1019-02-13,+1104-07-25
A000747,法礪,+0569-01-01 ~ +0569-12-31,+0635-01-27 ~ +0636-02-14
A000749,竺法護,+0239-01-01 ~ +0239-12-31,+0316-01-01 ~ +0316-12-31
A000750,法顯,+0338-01-01 ~ +0338-12-31,+0423-01-29 ~ +0424-02-16
