Dharma_Drum_Authority_No,Main_Name,Birth,Death
A013921,樂道,+1662-01-01 ~ +1662-12-31,+1734-02-04 ~ +1735-01-23
A013923,郗志榮,+0778 ~ +0826,+0836 ~ +0885
A013924,宋常春,+0778 ~ +0826,+0836 ~ +0885
A013933,全清,+0786,+0882 ~ +0885
A013941,裴延魯,+0818 ~ +0860,+0875 ~ +0917
A013948,沈顏,+0827,+0926-05-20 ~ +0926-06-15
A013954,尉卑大,+0090-01-01 ~ +0090-12-31,+0126-01-01 ~ +0126-12-31
A013955,唐稟,+0830 ~ +0872,+0905 ~ +0940
A013956,楊弇,+0839 ~ +0887,+0889 ~ +0938
A013959,圓貞,+0789 ~ +0837,+0839 ~ +0888
A013960,王慥,+0827 ~ +0875,+0877 ~ +0926
A013961,蔣瓌,+0797,+0896-01-23 ~ +0897-02-09
A013963,吳融,+0850-02-20 ~ +0851-02-08,+0903-02-06 ~ +0904-01-25
A013964,韋藹,+0837 ~ +0895,+0897 ~ +0936
A013965,李賀,+0790-01-01 ~ +0790-12-31,+0816-01-01 ~ +0816-12-31
A013966,曇域,+0864 ~ +0912,+0914 ~ +0963
A013967,韋莊,+0836-01-01 ~ +0836-12-31,+0910-01-01 ~ +0910-12-31
A013968,王鍇,+0859 ~ +0907,+0913 ~ +0958
A013972,張思廣,+0824 ~ +0872,+0874 ~ +0923
A013973,陸希聲,+0839 ~ +0887,+0905 ~ +0938
A013974,韓建,+0855-01-01 ~ +0855-12-31,+0912-07-24 ~ +0912-08-19
A013978,陳榮,+0902 ~ +0950,+0952 ~ +1000
A013979,淡然,+0931 ~ +0979,+0981 ~ +1030
A013981,奉明,+0931 ~ +0979,+0981 ~ +1030
A013986,李仙根,+1621-01-31 ~ +1621-12-31,+1690-01-31 ~ +1690-12-31
A014018,曇翼,+0348-01-01 ~ +0348-12-31,+0417-02-04 ~ +0418-02-21
A014019,道矯,+0357-01-01 ~ +0357-12-31,+0449-02-10 ~ +0450-01-29
A014021,曇典,+0388-01-01 ~ +0388-12-31,+0437-02-22 ~ +0438-02-10
A014023,何曇遠,+0415-01-01 ~ +0415-12-31,+0433-03-23
A014026,僧景,+0440-01-01 ~ +0440-12-31,+0497-02-19 ~ +0498-02-07
A014034,僧根,+0469-01-01 ~ +0469-12-31,+0523-02-03 ~ +0524-01-23
A014040,法懃,+0494-01-01 ~ +0494-12-31,+0562-02-21 ~ +0562-05-25
A014053,靈琛,+0554-01-01 ~ +0554-12-31,+0628-02-14 ~ +0629-02-01
A014057,慧斌,+0569-01-01 ~ +0569-12-31,+0612-02-10 ~ +0613-01-29
A014059,慧了,+0573-01-01 ~ +0573-12-31,+0656-02-10 ~ +0657-01-22
A014061,安含,+0579-01-01 ~ +0579-12-31,+0640-02-01 ~ +0641-02-18
A014063,智藏,+0591-01-01 ~ +0591-12-31,+0678-01-31 ~ +0679-02-18
A014068,道安,+0608-01-01 ~ +0608-12-31,+0668-04-25 ~ +0669-02-08
A014069,僧朗,+0635-01-01 ~ +0635-12-31,+0702-02-06 ~ +0703-01-25
A014070,法藏,+0637-01-01 ~ +0637-12-31,+0714-01-25 ~ +0715-02-12
A014071,法如,+0638-01-01 ~ +0638-12-31,+0689-08-20
A014072,懷惲,+0640-01-01 ~ +0640-12-31,+0701-02-19 ~ +0701-11-29
A014073,玄際,+0640-01-01 ~ +0640-12-31,+0706-01-23 ~ +0707-02-10
A014076,僧貞,+0642-01-01 ~ +0642-12-31,+0725-02-22 ~ +0726-02-10
A014077,張仁節,+0643-01-01 ~ +0643-12-31,+0747-02-01
A014078,法現,+0643-01-01 ~ +0643-12-31,+0720-02-17 ~ +0721-02-04
A014079,文蕩,+0645-01-01 ~ +0645-12-31,+0719-01-30 ~ +0720-02-16
A014084,淨業象,+0655-01-01 ~ +0655-12-31,+0712-06-25 ~ +0712-09-15
A014085,敬節,+0655-01-01 ~ +0655-12-31,+0729-02-07 ~ +0730-01-26
A014086,大福,+0655-01-01 ~ +0655-12-31,+0743-02-03 ~ +0744-01-23
A014088,守忠,+0657-01-01 ~ +0657-12-31,+0741-01-26 ~ +0742-02-13
A014089,惠隱,+0659-01-01 ~ +0659-12-31,+0734-02-13 ~ +0735-02-01
A014090,景賢,+0660-01-01 ~ +0660-12-31,+0723-09-09 ~ +0723-10-07
A014091,僧全,+0659-01-01 ~ +0659-12-31,+0757-01-29 ~ +0758-02-16
A014092,圓濟,+0663-01-01 ~ +0663-12-31,+0743-02-03 ~ +0744-01-23
A014093,了緣,+0665-01-01 ~ +0665-12-31,+0738-01-29 ~ +0739-02-16
A014094,嘉運,+0668-01-01 ~ +0668-12-31,+0716-02-02 ~ +0717-02-19
A014096,僧體,+0672-01-01 ~ +0672-12-31,+0763-01-23 ~ +0763-08-27
A014097,義琬,+0673-01-01 ~ +0673-12-31,+0731-08-29
A014098,惠真,+0673-01-01 ~ +0673-12-31,+0751-02-05 ~ +0752-01-24
A014100,淨藏,+0675-01-01 ~ +0675-12-31,+0746-11-17
A014101,思道,+0677-01-01 ~ +0677-12-31,+0757-01-29 ~ +0758-02-16
A014102,道一,+0679-01-01 ~ +0679-12-31,+0754-02-01 ~ +0755-02-19
A014106,寶手,+0683-01-01 ~ +0683-12-31,+0719-01-30 ~ +0720-02-16
A014107,智通,+0683-01-01 ~ +0683-12-31,+0751-12-23
A014110,大慈淨覺,+0688-01-01 ~ +0688-12-31,+0746-01-30 ~ +0747-02-17
A014111,道光,+0689-01-01 ~ +0689-12-31,+0739-02-17 ~ +0740-02-05
A014112,同光,+0700-01-01 ~ +0700-12-31,+0770-02-05 ~ +0771-01-24
A014113,菩提僊那,+0704-01-01 ~ +0704-12-31,+0760-01-27 ~ +0760-06-11
A014114,曇真,+0704-01-01 ~ +0704-12-31,+0763-02-05
A014115,神行,+0704-01-01 ~ +0704-12-31,+0779-01-26 ~ +0779-06-13
A014116,智悟仲丘,+0707-01-01 ~ +0707-12-31,+0771-01-25 ~ +0772-02-12
A014117,普門,+0709-01-01 ~ +0709-12-31,+0792-02-01 ~ +0793-02-18
A014118,本智了悟,+0710-01-01 ~ +0710-12-31,+0759-02-07 ~ +0760-01-26
A014119,承遠,+0712-01-01 ~ +0712-12-31,+0802-08-24
A014121,法玩,+0715-01-01 ~ +0715-12-31,+0790-09-29
A014122,乘廣,+0717-02-20 ~ +0718-02-08,+0798-04-20
A014127,契微,+0720-01-01 ~ +0720-12-31,+0781-02-02 ~ +0782-01-22
A014128,曇玭,+0723-01-01 ~ +0723-12-31,+0797-02-06 ~ +0798-01-25
A014129,法證,+0724-01-01 ~ +0724-12-31,+0801-01-22 ~ +0802-02-09
A014130,熙怡,+0726-01-01 ~ +0726-12-31,+0796-09-07
A014131,常儼,+0726-01-01 ~ +0726-12-31,+0816-02-06 ~ +0817-01-24
A014132,光範,+0727-01-01 ~ +0727-12-31,+0800-02-03 ~ +0801-01-21
A014133,真堅,+0728-01-01 ~ +0728-12-31,+0784-01-31 ~ +0785-02-17
A014134,如海,+0728-01-01 ~ +0728-12-31,+0808-02-04 ~ +0809-01-23
A014136,圓敬,+0729-01-01 ~ +0729-12-31,+0792-02-01 ~ +0793-02-18
A014137,觀宗,+0731-01-01 ~ +0731-12-31,+0809-01-24 ~ +0810-02-11
A014138,惠開,+0733-01-01 ~ +0733-12-31,+0797-02-06 ~ +0798-01-25
A014139,明演,+0733-01-01 ~ +0733-12-31,+0801-03-26
A014140,日晤,+0736-01-01 ~ +0736-12-31,+0804-02-19 ~ +0805-02-06
A014143,智儼,+0737-01-01 ~ +0737-12-31,+0818-02-13 ~ +0819-02-02
A014144,泛舟,+0739-01-01 ~ +0739-12-31,+0792-02-01 ~ +0793-02-18
A014145,𧦬空,+0734-01-01 ~ +0734-12-31,+0794-02-09 ~ +0795-01-29
A014146,靈識,+0741-01-01 ~ +0741-12-31,+0800-02-03 ~ +0801-01-21
A014147,憲超,+0743-01-01 ~ +0743-12-31,+0818-02-13 ~ +0819-02-02
A014148,大義,+0746-01-01 ~ +0746-12-31,+0818-02-13 ~ +0819-02-02
A014149,惠海,+0748-01-01 ~ +0748-12-31,+0812-02-21 ~ +0813-02-08
A014150,智如,+0749-01-01 ~ +0749-12-31,+0834-02-17 ~ +0835-02-05
A014151,齊朗,+0750-01-01 ~ +0750-12-31,+0822-01-31 ~ +0823-02-18
A014152,如信,+0750-01-01 ~ +0750-12-31,+0824-02-08 ~ +0824-02-28
A014154,真性,+0752-01-01 ~ +0752-12-31,+0835-02-06 ~ +0836-01-25
A014156,契義,+0753-01-01 ~ +0753-12-31,+0818-02-13 ~ +0819-02-02
A014157,廣宣智𧦬,+0755-01-01 ~ +0755-12-31,+0827-03-18 ~ +0837-02-12
A014158,寂照,+0759-01-01 ~ +0759-12-31,+0834-01-18 ~ +0834-02-16
A014160,慈忍善信,+0764-01-01 ~ +0764-12-31,+0827-03-18 ~ +0837-02-12
A014162,明遠,+0765-01-01 ~ +0765-12-31,+0834-02-17 ~ +0835-02-05
A014163,常俊,+0772-01-01 ~ +0772-12-31,+0841-02-08 ~ +0842-02-17
A014164,慧昭,+0774-01-01 ~ +0774-12-31,+0850-02-20 ~ +0851-02-08
A014167,行標,+0781-01-01 ~ +0781-12-31,+0865-08-04
A014168,義中,+0781-01-01 ~ +0781-12-31,+0872-02-17 ~ +0873-02-04
A014169,智真,+0782-01-01 ~ +0782-12-31,+0865-02-04 ~ +0866-01-24
A014171,無了,+0787-01-01 ~ +0787-12-31,+0867-11-04 ~ +0867-12-03
A014172,正元,+0792-01-01 ~ +0792-12-31,+0869-02-19 ~ +0870-02-08
A014173,曉方,+0794-01-01 ~ +0794-12-31,+0870-02-09 ~ +0871-01-28
A014174,道宗,+0795-01-01 ~ +0795-12-31,+0866-01-25 ~ +0867-02-12
A014175,洪照,+0795-01-01 ~ +0795-12-31,+0872-02-17 ~ +0873-02-04
A014176,利蹤,+0800-01-01 ~ +0800-12-31,+0880-02-18 ~ +0881-02-06
A014178,無染,+0800-01-01 ~ +0800-12-31,+0888-04-11 ~ +0888-04-23
A014181,體澄,+0804-01-01 ~ +0804-12-31,+0880-02-18 ~ +0881-02-06
A014185,陰那了拳,+0813-01-01 ~ +0813-12-31,+0861-02-18 ~ +0862-02-06
A014188,志忠,+0817-01-01 ~ +0817-12-31,+0882-01-27 ~ +0883-02-14
A014199,道憲,+0824-01-01 ~ +0824-12-31,+0882-01-27 ~ +0883-02-14
A014200,行寂,+0833-01-28,+0916-03-23
A014203,弘哲,+0833-01-01 ~ +0833-12-31,+0904-06-02 ~ +0904-09-27
A014204,通玄,+0834-01-01 ~ +0834-12-31,+0896-01-23 ~ +0897-02-09
A014209,開清,+0854-05-19,+0930-10-23
A014210,居誨,+0837-01-01 ~ +0837-12-31,+0903-02-06 ~ +0904-01-25
A014211,頂超,+1781-01-01 ~ +1781-12-31,+1846-01-27 ~ +1847-02-14
A014217,幼璋,+0841-01-01 ~ +0841-12-31,+0927-02-10 ~ +0928-01-30
A014219,扣冰藻先,+0844-01-01 ~ +0844-12-31,+0928-01-31 ~ +0929-02-17
A014220,懷溢,+0847-01-01 ~ +0847-12-31,+0934-01-23 ~ +0934-05-28
A014221,行鈞,+0848-01-01 ~ +0848-12-31,+0925-02-01 ~ +0926-02-19
A014222,璘輝,+0854-01-01 ~ +0854-12-31,+0906-02-02 ~ +0907-02-19
A014223,審希,+0856-01-25,+0923-05-17
A014224,圓明,+0855-01-01 ~ +0855-12-31,+0990-02-04 ~ +0991-01-23
A014229,袁珙,+1335-01-01 ~ +1335-12-31,+1410-02-13 ~ +1411-02-01
A014230,麗嚴,+0862-01-01 ~ +0862-12-31,+0930-03-28 ~ +0931-01-26
A014231,先覺逈微,+0864-01-01 ~ +0864-12-31,+0917-01-31 ~ +0918-02-18
A014232,廣慈胤多,+0862-01-01 ~ +0862-12-31,+0945-02-20 ~ +0946-02-09
A014233,翁同龢,+1830-01-01 ~ +1830-12-31,+1904-01-01 ~ +1904-12-31
A014234,無垢普隨,+0865-01-01 ~ +0865-12-31,+0927-02-10 ~ +0928-01-30
A014235,忠湛,+0869-03-11,+0940-08-28
A014237,利嚴,+0870-01-01 ~ +0870-12-31,+0936-02-01 ~ +0937-01-16
A014241,慶猷,+0871-01-01 ~ +0871-12-31,+0921-02-16 ~ +0921-06-13
A014242,宗靖,+0871-01-01 ~ +0871-12-31,+0954-02-27 ~ +0955-01-31
A014245,神祿,+0873-01-01 ~ +0873-12-31,+0977-01-19 ~ +0977-01-26
A014246,儀晏,+0876-01-01 ~ +0876-12-31,+0990-02-04 ~ +0991-01-23
A014247,令逢,+0878-01-01 ~ +0878-12-31,+0928-01-31 ~ +0929-02-17
A014248,徐郙,+1836-02-17 ~ +1837-02-04,+1907-02-13 ~ +1908-02-01
A014249,元暉,+0879-01-01 ~ +0879-12-31,+0941-02-04 ~ +0942-01-24
A014250,無殷,+0884-01-01 ~ +0884-12-31,+0960-02-09 ~ +0961-01-24
A014251,龍光隱微,+0886-01-01 ~ +0886-12-31,+0961-12-12
A014253,法柔,+0888-01-01 ~ +0888-12-31,+0961-01-25 ~ +0962-02-12
A014255,志端,+0892-01-01 ~ +0892-12-31,+0969-01-26 ~ +0970-02-13
A014256,智遠,+0895-01-01 ~ +0895-12-31,+0977-01-27 ~ +0978-02-14
A014258,瑞麟,+1809-01-01 ~ +1809-12-31,+1874-02-17 ~ +1875-01-12
A014262,唐儉,+0579-01-01 ~ +0579-12-31,+0656-02-10 ~ +0657-01-22
A014268,歸柔,+0899-01-01 ~ +0899-12-31,+0984-12-11 ~ +0985-01-28
A014270,令因,+0901-01-01 ~ +0901-12-31,+0924-02-13 ~ +0925-01-31
A014271,淨德智筠,+0906-01-01 ~ +0906-12-31,+0969-01-26 ~ +0970-02-13
A014272,千光瓌省,+0906-01-01 ~ +0906-12-31,+0972-01-24 ~ +0973-02-10
A014277,觀音從顯,+0906-01-01 ~ +0906-12-31,+0983-02-21 ~ +0984-02-09
A014284,清皎,+0906-01-01 ~ +0906-12-31,+0993-01-31 ~ +0994-02-18
A014285,澄玘,+0907-01-01 ~ +0907-12-31,+0967-02-17 ~ +0968-02-06
A014286,玄應,+0910-01-01 ~ +0910-12-31,+0975-02-19 ~ +0976-02-07
A014290,法齊,+0912-01-01 ~ +0912-12-31,+1000-02-13 ~ +1001-02-02
A014291,朋彥,+0913-01-01 ~ +0913-12-31,+0961-01-25 ~ +0962-02-12
A014292,紹月,+0915-01-01 ~ +0915-12-31,+0972-01-24 ~ +0973-02-10
A014293,清護,+0916-01-01 ~ +0916-12-31,+0970-02-14 ~ +0971-02-03
A014294,道勤,+0918-01-01 ~ +0918-12-31,+0977-01-19 ~ +0977-01-26
A014295,曉榮,+0920-01-01 ~ +0920-12-31,+0990-02-04 ~ +0991-01-23
A014296,希辯,+0921-01-01 ~ +0921-12-31,+0997-02-15 ~ +0997-05-12
A014297,遇賢,+0922-01-01 ~ +0922-12-31,+1009-02-04 ~ +1010-01-23
A014301,重宣,+0923-01-01 ~ +0923-12-31,+1001-02-03 ~ +1002-02-20
A014302,遇安,+0924-01-01 ~ +0924-12-31,+0995-02-08 ~ +0996-01-27
A014312,妙坦,+1245-01-01 ~ +1245-12-31,+1315-02-13 ~ +1316-02-01
A014313,惟尚,+1074-01-01 ~ +1074-12-31,+1140-01-29 ~ +1141-02-15
A014314,道詮,+0930-01-01 ~ +0930-12-31,+0985-01-29 ~ +0986-02-16
A014315,行明,+0932-01-01 ~ +0932-12-31,+1001-02-03 ~ +1002-02-20
A014319,自嚴,+0934-01-01 ~ +0934-12-31,+1015-01-29 ~ +1016-02-16
A014320,淨業,+0935-01-01 ~ +0935-12-31,+0993-01-31 ~ +0994-02-18
A014321,慶祥,+0935-01-01 ~ +0935-12-31,+0998-02-05 ~ +0999-01-24
A014323,洪蘊,+0937-01-01 ~ +0937-12-31,+1004-01-31 ~ +1005-02-17
A014324,歸宗慧誠,+0941-01-01 ~ +0941-12-31,+1007-01-28 ~ +1008-02-15
A014325,本先,+0942-01-01 ~ +0942-12-31,+1008-02-20 ~ +1009-02-03
A014326,睿諫,+0943-01-01 ~ +0943-12-31,+1008-02-20 ~ +1009-02-03
A014328,道和,+1057-01-01 ~ +1057-12-31,+1124-09-23
A014330,宗玨,+1091-01-01 ~ +1091-12-31,+1162-09-18 ~ +1162-09-27
A014332,德聰,+0944-01-01 ~ +0944-12-31,+1017-08-01 ~ +1017-08-29
A014333,洪壽,+0944-01-01 ~ +0944-12-31,+1022-02-10 ~ +1022-03-28
A014336,奉諲,+0946-01-01 ~ +0946-12-31,+1025-02-07 ~ +1026-01-27
A014342,智雨,+0947-01-01 ~ +0947-12-31,+0997-02-15 ~ +0997-05-12
A014349,元璉,+0951-01-01 ~ +0951-12-31,+1036-02-06 ~ +1037-01-24
A014351,清簡,+0957-01-01 ~ +0957-12-31,+1014-02-09 ~ +1015-01-28
A014352,省常,+0959-01-01 ~ +0959-12-31,+1020-02-14
A014354,慶昭,+0963-01-01 ~ +0963-12-31,+1017-02-06 ~ +1018-01-25
A014355,法護,+0963-01-01 ~ +0963-12-31,+1058-02-02 ~ +1059-02-20
A014356,悟乘,+0964-01-01 ~ +0964-12-31,+1022-02-10 ~ +1022-03-28
A014357,谷泉,+0965-01-01 ~ +0965-12-31,+1056-10-29 ~ +1064-01-26
A014358,義海,+0970-01-01 ~ +0970-12-31,+1025-02-07 ~ +1026-01-27
A014359,義從,+0971-01-01 ~ +0971-12-31,+1033-03-09
A014360,惟中,+0977-01-01 ~ +0977-12-31,+1045-05-25 ~ +1045-07-22
A014367,契褒,+0977-01-01 ~ +0977-12-31,+1054-05-02 ~ +1055-02-05
A014368,自寶,+0978-01-01 ~ +0978-12-31,+1054-05-02 ~ +1055-02-05
A014369,惟己,+0979-01-01 ~ +0979-12-31,+1064-12-09
A014370,慶暹,+0980-01-01 ~ +0980-12-31,+1055-02-06 ~ +1056-01-25
A014371,明因,+0981-01-01 ~ +0981-12-31,+1033-02-09 ~ +1034-01-28
A014372,海麟,+0981-01-01 ~ +0981-12-31,+1067-01-24 ~ +1068-02-11
A014373,普印昕,+0983-01-01 ~ +0983-12-31,+1056-01-26 ~ +1056-10-28
A014379,明德,+1294-01-01 ~ +1294-12-31,+1372-04-09
A014380,宗震,+0986-01-01 ~ +0986-12-31,+1072-01-29 ~ +1073-02-15
A014381,王積翁,+1229-01-01 ~ +1229-12-31,+1284-01-26 ~ +1285-02-12
A014384,逹觀,+0989-01-01 ~ +0989-12-31,+1060-02-11 ~ +1061-01-29
A014390,楊士雲,+1477-01-31 ~ +1477-12-31,+1554-01-31 ~ +1554-12-31
A014396,雙峯省回,+0992-01-01 ~ +0992-12-31,+1083-11-05
A014399,資聖盛勤,+0993-01-01 ~ +0993-12-31,+1060-06-21
A014400,得利,+0996-01-01 ~ +0996-12-31,+1066-02-04 ~ +1067-01-23
A014401,思悟,+0997-01-01 ~ +0997-12-31,+1026-01-28 ~ +1027-02-14
A014402,務本,+0998-01-01 ~ +0998-12-31,+1080-01-31 ~ +1081-02-17
A014404,幻旻,+0999-01-01 ~ +0999-12-31,+1059-02-21 ~ +1060-02-10
A014409,歐陽玄,+1283-02-06 ~ +1284-01-25,+1357-01-29 ~ +1358-02-16
A014414,福靜,+1000-01-01 ~ +1000-12-31,+1075-01-26 ~ +1076-02-13
A014415,智林,+1001-01-01 ~ +1001-12-31,+1071-02-09 ~ +1072-01-28
A014416,慧寔,+1001-01-01 ~ +1001-12-31,+1078-01-23 ~ +1079-02-10
A014417,顯端,+1001-01-01 ~ +1001-12-31,+1084-08-21
A014419,季攴,+1002-01-01 ~ +1002-12-31,+1056-01-26 ~ +1057-02-12
A014421,令觀,+1003-01-01 ~ +1003-12-31,+1093-02-05 ~ +1094-01-24
A014422,惠立,+1005-01-01 ~ +1005-12-31,+1081-02-18 ~ +1082-02-06
A014423,倚遇,+1005-01-01 ~ +1005-12-31,+1081-02-18 ~ +1082-02-06
A014425,義宗,+1005-01-01 ~ +1005-12-31,+1081-02-18 ~ +1082-02-06
A014428,廣法院源,+1005-01-01 ~ +1005-12-31,+1085-11-08
A014430,寶月脩廣,+1008-01-01 ~ +1008-12-31,+1068-02-12 ~ +1069-01-31
A014431,惟湛,+1009-01-01 ~ +1009-12-31,+1073-04-23
A014432,守常,+1010-01-01 ~ +1010-12-31,+1070-02-20 ~ +1071-02-08
A014434,寶月,+1010-01-01 ~ +1010-12-31,+1084-02-15 ~ +1085-02-03
A014439,懷謹,+1011-11-01,+1085-11-13
A014441,行中至仁,+1309-01-01 ~ +1309-12-31,+1382-05-10
A014442,洪英,+1012-01-01 ~ +1012-12-31,+1070-07-25
A014445,康里脱脱,+1272-01-01 ~ +1272-12-31,+1327-02-01 ~ +1328-02-19
A014446,道聯,+1346-07-25,+1409-09-16
A014452,惟鑑,+1013-01-01 ~ +1013-12-31,+1091-01-25
A014453,惟簡,+1012-01-01 ~ +1012-12-31,+1095-08-05
A014454,可久,+1013-01-01 ~ +1013-12-31,+1093-02-05 ~ +1094-01-24
A014456,善周,+1015-01-01 ~ +1015-12-31,+1087-01-28
A014466,允汾,+1622-01-01 ~ +1622-12-31,+1680-02-12
A014472,道臻,+1014-01-01 ~ +1014-12-31,+1093-09-16
A014473,悟理,+1014-01-01 ~ +1014-12-31,+1094-04-24 ~ +1095-02-13
A014474,惟渥,+1014-01-01 ~ +1014-12-31,+1102-01-28 ~ +1103-02-15
A014475,法寶,+1015-01-01 ~ +1015-12-31,+1083-10-20 ~ +1083-11-18
A014476,自仁,+1015-01-01 ~ +1015-12-31,+1098-07-16
A014477,金山懷賢,+1016-01-01 ~ +1016-12-31,+1082-10-16
A014478,行偉,+1019-01-01 ~ +1019-12-31,+1081-01-14
A014479,顯達,+1018-01-01 ~ +1018-12-31,+1109-02-09 ~ +1110-01-28
A014480,宗本,+1019-01-01 ~ +1019-12-31,+1089-02-19 ~ +1090-02-08
A014481,澄方,+1020-01-01 ~ +1020-12-31,+1089-02-19 ~ +1090-02-08
A014482,宗本,+1020-01-01 ~ +1020-12-31,+1100-02-15
A014484,法均,+1021-01-01 ~ +1021-12-31,+1075-03-29
A014485,法安,+1024-01-01 ~ +1024-12-31,+1084-09-12
A014486,禾山德普,+1025-01-01 ~ +1025-12-31,+1091-01-29 ~ +1092-02-15
A014488,守智,+1025-01-01 ~ +1025-12-31,+1115-02-04 ~ +1116-01-23
A014489,昭慶,+1027-01-01 ~ +1027-12-31,+1089-09-28
A014490,曇異,+1027-01-01 ~ +1027-12-31,+1102-09-16
A014491,慶閑,+1029-01-01 ~ +1029-12-31,+1081-02-18 ~ +1082-02-06
A014492,知信,+1030-01-01 ~ +1030-12-31,+1088-12-30
A014493,元祐,+1030-01-01 ~ +1030-12-31,+1095-08-15
A014494,禪慧,+1034-01-01 ~ +1034-12-31,+1102-01-28 ~ +1103-02-15
A014495,西余淨端,+1031-01-01 ~ +1031-12-31,+1104-01-11
A014498,本晝,+1621-05-04,+1706-01-10
A014504,持正,+1032-01-01 ~ +1032-12-31,+1107-10-10
A014506,海印,+1032-01-01 ~ +1032-12-31,+1115-02-04 ~ +1116-01-23
A014508,嚴虞惇,+1650-02-01 ~ +1651-01-20,+1713-01-26 ~ +1714-02-13
A014509,清源,+1032-01-01 ~ +1032-12-31,+1129-08-28
A014514,清沼,+1033-01-01 ~ +1033-12-31,+1095-02-14 ~ +1096-02-02
A014515,黃檗道全,+1036-01-01 ~ +1036-12-31,+1084-02-15 ~ +1085-02-03
A014516,慧元,+1038-01-01 ~ +1038-12-31,+1092-01-03
A014520,崇昱,+1039-01-01 ~ +1039-12-31,+1114-02-15 ~ +1115-02-03
A014521,石頭懷志,+1040-01-01 ~ +1040-12-31,+1103-02-16 ~ +1104-02-05
A014522,法性,+1040-01-01 ~ +1040-12-31,+1103-02-16 ~ +1104-02-05
A014524,省聰,+1042-01-01 ~ +1042-12-31,+1096-10-16
A014526,淨燈,+1603-01-01 ~ +1603-12-31,+1659-09-28
A014527,惠潤,+1042-01-01 ~ +1042-12-31,+1110-01-29 ~ +1111-02-16
A014528,玄樞,+1042-01-01 ~ +1042-12-31,+1110-01-29 ~ +1111-02-16
A014529,吳雲,+1811-01-01 ~ +1811-12-31,+1883-01-01 ~ +1883-12-31
A014530,正慧,+1042-01-01 ~ +1042-12-31,+1116-01-24 ~ +1117-02-10
A014531,觀政,+1043-01-01 ~ +1043-12-31,+1113-01-27 ~ +1114-02-14
A014536,無演,+1045-01-01 ~ +1045-12-31,+1100-04-19 ~ +1100-05-17
A014558,文政,+1045-01-01 ~ +1045-12-31,+1113-01-27 ~ +1114-02-14
A014574,惠照,+1049-01-01 ~ +1049-12-31,+1119-03-23 ~ +1120-02-07
A014575,志延,+1050-01-01 ~ +1050-12-31,+1108-02-21 ~ +1109-02-08
A014576,等偉,+1051-01-01 ~ +1051-12-31,+1107-05-18
A014577,嚴曾榘,+1639-02-03 ~ +1640-01-22,+1700-02-19 ~ +1701-02-07
A014580,推清,+1053-01-01 ~ +1053-12-31,+1122-02-16 ~ +1123-02-04
A014581,元易,+1053-01-01 ~ +1053-12-31,+1137-01-30 ~ +1138-02-18
A014582,元益,+1054-01-01 ~ +1054-12-31,+1112-02-07 ~ +1113-01-26
A014584,崇遠,+1054-01-01 ~ +1054-12-31,+1126-02-01 ~ +1127-02-19
A014585,謠詵,+1055-01-01 ~ +1055-12-31,+1117-10-20
A014587,宗利,+1055-01-01 ~ +1055-12-31,+1144-02-13 ~ +1145-01-31
A014588,惟潔,+1056-01-01 ~ +1056-12-31,+1097-01-22 ~ +1098-02-09
A014589,岸田吟香,+1833-06-15,+1905-06-07
A014590,穹窿智圓 ,+1056-01-01 ~ +1056-12-31,+1124-01-26 ~ +1125-02-11
A014591,天寧禧誧,+1057-01-01 ~ +1057-12-31,+1115-02-04 ~ +1116-01-23
A014592,德輝,+1838-01-01 ~ +1838-12-31,+1913-12-01 ~ +1913-12-31
A014594,道山,+1596-01-01 ~ +1596-12-31,+1642-10-18
A014596,影渠,+1587-01-01 ~ +1587-12-31,+1641-10-12
A014612,寶月,+1057-01-01 ~ +1057-12-31,+1117-10-17
A014613,悟敏,+1057-01-01 ~ +1057-12-31,+1141-02-16 ~ +1142-02-04
A014615,智海,+1058-01-01 ~ +1058-12-31,+1119-03-23 ~ +1120-02-07
A014618,思恭,+1058-01-01 ~ +1058-12-31,+1129-10-22 ~ +1129-11-20
A014619,清睿,+1059-01-01 ~ +1059-12-31,+1113-01-27 ~ +1114-02-14
A014620,惠懃,+1059-01-01 ~ +1059-12-31,+1117-02-11 ~ +1118-01-30
A014621,脩意,+1060-01-01 ~ +1060-12-31,+1138-02-19 ~ +1139-02-07
A014622,禪悅,+1060-01-01 ~ +1060-12-31,+1156-10-18
A014623,宗敏,+1061-01-01 ~ +1061-12-31,+1137-01-30 ~ +1138-02-18
A014624,梵光,+1064-01-01 ~ +1064-12-31,+1143-03-03
A014625,惟德,+1065-01-01 ~ +1065-12-31,+1130-02-17 ~ +1131-02-06
A014629,中皎,+1067-01-01 ~ +1067-12-31,+1145-02-01 ~ +1146-02-19
A014631,惠通,+1068-01-01 ~ +1068-12-31,+1135-01-23 ~ +1136-02-10
A014634,思淨,+1068-01-01 ~ +1068-12-31,+1137-01-30 ~ +1138-02-18
A014636,覺先,+1069-01-01 ~ +1069-12-31,+1146-03-05
A014637,法成,+1071-01-01 ~ +1071-12-31,+1128-02-10 ~ +1129-01-28
A014638,月潭明達,+1665-01-01 ~ +1665-12-31,+1729-01-29 ~ +1730-02-16
A014640,善億,+1071-01-01 ~ +1071-12-31,+1129-01-29 ~ +1130-02-16
A014641,行海,+1610-01-23,+1683-05-28
A014648,法慶,+1071-01-01 ~ +1071-12-31,+1143-01-25 ~ +1144-02-12
