"name","birth","death","lifespan","occupation","country","id","dataset"
"François de Metz",1350,1444,94,"Catholic priest","France","http://www.wikidata.org/entity/Q689385","wikidata"
"Guillaume Court",1350,1361,11,"Catholic priest","France","http://www.wikidata.org/entity/Q933891","wikidata"
"Jean de La Rochetaillée",1360,1437,77,"Catholic priest","France","http://www.wikidata.org/entity/Q677150","wikidata"
"Marie I, Countess of Auvergne",1376,1437,61,"politician","France","http://www.wikidata.org/entity/Q1254053","wikidata"
"Philippe de Coetquis",1376,1441,65,"prelate","France","http://www.wikidata.org/entity/Q3380933","wikidata"
"Bernard de la Planche",1380,1448,68,"Catholic priest","France","http://www.wikidata.org/entity/Q531308","wikidata"
"Regnault de Chartres",1380,1444,64,"prelate","France","http://www.wikidata.org/entity/Q722403","wikidata"
"Pierre de Foix, le vieux",1386,1464,78,"diplomat","France","http://www.wikidata.org/entity/Q2453490","wikidata"
"Nompar of Caumont",1391,1446,55,"Gascon lord","France","http://www.wikidata.org/entity/Q12393982","wikidata"
"Lewis of Luxembourg",1391,1443,52,"cardinal","France","http://www.wikidata.org/entity/Q479826","wikidata"
"Thomas de Courcelles",1400,1469,69,"Catholic priest","France","http://www.wikidata.org/entity/Q3525696","wikidata"
"Thibaud of Luxembourg",1410,1477,67,"prelate","France","http://www.wikidata.org/entity/Q3524046","wikidata"
"Jeanne de Bar, Countess of Marle and Soissons",1415,1462,47,"feudatory","France","http://www.wikidata.org/entity/Q2690153","wikidata"
"Louis d'Albret",1423,1465,42,"Catholic priest","France","http://www.wikidata.org/entity/Q1336245","wikidata"
"Hélie de Bourdeilles",1423,1484,61,"Catholic priest","France","http://www.wikidata.org/entity/Q3144641","wikidata"
"Philippe de Levis",1435,1475,40,"Catholic priest","France","http://www.wikidata.org/entity/Q2087776","wikidata"
"Raymond Peraudi",1435,1505,70,"Catholic priest","France","http://www.wikidata.org/entity/Q969655","wikidata"
"Gaspard de Bettencourt",1440,1522,82,"knight","France","http://www.wikidata.org/entity/Q92543869","wikidata"
"Philippe de Luxembourg",1445,1519,74,"Catholic priest","France","http://www.wikidata.org/entity/Q507465","wikidata"
"Jean-François de la Trémoille",1465,1507,42,"Catholic priest","France","http://www.wikidata.org/entity/Q1088190","wikidata"
"Francis Phoebus of Navarre",1467,1483,16,"politician","France","http://www.wikidata.org/entity/Q363572","wikidata"
"Nicolau Chanterene",1470,1551,81,"architect","France","http://www.wikidata.org/entity/Q3119777","wikidata"
"Amanieu d'Albret",1478,1520,42,"Catholic priest","France","http://www.wikidata.org/entity/Q1771991","wikidata"
"Adrian Gouffier de Boissy",1479,1523,44,"Catholic priest","France","http://www.wikidata.org/entity/Q1131862","wikidata"
"Hodart",1480,1546,66,"sculptor","France","http://www.wikidata.org/entity/Q18601872","wikidata"
"Charlotte of Albret",1480,1514,34,"politician","France","http://www.wikidata.org/entity/Q1955329","wikidata"
"François Guillaume de Castelnau-Clermont-Ludève",1480,1541,61,"diplomat","France","http://www.wikidata.org/entity/Q2258451","wikidata"
"Jean de Rouen",1480,1580,100,"architect","France","http://www.wikidata.org/entity/Q8896932","wikidata"
"Georges II d'Amboise",1488,1550,62,"Catholic priest","France","http://www.wikidata.org/entity/Q3102910","wikidata"
"Claudin de Sermisy",1490,1562,72,"composer","France","http://www.wikidata.org/entity/Q968593","wikidata"
"Francesco Touchebeuf",1492,1540,48,"military personnel","France","http://www.wikidata.org/entity/Q3750745","wikidata"
"Jean du Bellay",1492,1560,68,"writer","France","http://www.wikidata.org/entity/Q518967","wikidata"
"Charles de Hémard de Denonville",1493,1540,47,"Catholic priest","France","http://www.wikidata.org/entity/Q1080429","wikidata"
"Antoine Sanguin",1493,1559,66,"diplomat","France","http://www.wikidata.org/entity/Q2352122","wikidata"
"Claude de la Sengle",1494,1557,63,"warrior monk","France","http://www.wikidata.org/entity/Q379036","wikidata"
"Miguel Perrin",1498,1552,54,"sculptor","France","http://www.wikidata.org/entity/Q6014938","wikidata"
"Pere Fontaines",1500,1518,18,"painter","France","http://www.wikidata.org/entity/Q97341773","wikidata"
"Curzio Troiano Navò",1501,1600,99,"publisher","France","http://www.wikidata.org/entity/Q16546198","wikidata"
"Claude Aubery",1501,1596,95,"physician","France","http://www.wikidata.org/entity/Q17174414","wikidata"
"Bartolomeo Panciatichi",1507,1582,75,"politician","France","http://www.wikidata.org/entity/Q3635399","wikidata"
"Georges de Selve",1508,1541,33,"diplomat","France","http://www.wikidata.org/entity/Q3103711","wikidata"
"Charles de Mornay",1514,1574,60,"politician","France","http://www.wikidata.org/entity/Q4302820","wikidata"
"Odet de Coligny",1517,1571,54,"diplomat","France","http://www.wikidata.org/entity/Q964196","wikidata"
"Nicolas de Pellevé",1518,1594,76,"diplomat","France","http://www.wikidata.org/entity/Q590316","wikidata"
"Matthieu Cointerel",1519,1585,66,"Catholic priest","France","http://www.wikidata.org/entity/Q6791639","wikidata"
"Charles, Cardinal de Bourbon",1523,1590,67,"Catholic priest","France","http://www.wikidata.org/entity/Q544166","wikidata"
"Mateo Salado",1526,1573,47,NA,"France","http://www.wikidata.org/entity/Q6005938","wikidata"
"Philippe de Lenoncourt",1527,1592,65,"prelate","France","http://www.wikidata.org/entity/Q1651798","wikidata"
"Antoine de Créqui Canaples",1531,1574,43,"Catholic priest","France","http://www.wikidata.org/entity/Q2856878","wikidata"
"Hugues Loubenx de Verdalle",1531,1595,64,"cardinal","France","http://www.wikidata.org/entity/Q596564","wikidata"
"Jean Temporal",1535,1570,35,"translator","France","http://www.wikidata.org/entity/Q18021164","wikidata"
"Arnaud d'Ossat",1536,1604,68,"diplomat","France","http://www.wikidata.org/entity/Q2863243","wikidata"
"Jean Belmain",1546,1559,13,"theologian","France","http://www.wikidata.org/entity/Q3170686","wikidata"
"Adam Richard de la Chapelle",1550,1636,86,"military personnel","France","http://www.wikidata.org/entity/Q19365566","wikidata"
"Jean Bontemps",1550,1572,22,"privateer","France","http://www.wikidata.org/entity/Q6170294","wikidata"
"Charles II de Bourbon-Vendôme",1562,1594,32,"prelate","France","http://www.wikidata.org/entity/Q2959407","wikidata"
"Guillema Font",1565,1619,54,"witch","France","http://www.wikidata.org/entity/Q108506262","wikidata"
"Gabrielle d'Estrées",1570,1599,29,"marquess","France","http://www.wikidata.org/entity/Q234911","wikidata"
